n_rings,ring_spacing_mm,web_height_mm,web_thickness_mm,flange_thickness_mm,outer_flange_mm,inner_flange_mm,doubler_thickness_mm,ring_area_mm2,ring_I_mm4,I_required_mm4,ring_mass_kg,total_ring_mass_kg,total_doubler_mass_kg,stiffening_mass_kg,shell_mass_kg,total_structural_mass_kg,sigma_applied_MPa,sigma_allowable_MPa,sigma_panel_MPa,MS_global,MS_panel,MS_ring_stiffness,MS_overall,stiffness_to_mass,strength_to_mass,pressure_factor,feasible
5,1666.6666666666667,120,1.5,4.5,120.0,90.0,2.0,1125.0,3879528.75,3763020.833333334,41.20842791677,206.04213958385,30.263841677973492,236.3059812618235,1895.9511664414401,2132.2571477032634,31.70593799125878,47.20446452662331,44.896290794697805,0.48882094387610997,0.4160215290610725,0.03096127335640131,0.03096127335640131,16417.39548565019,0.02213826065841499,1.5141626041597727,True
5,1666.6666666666667,120,1.5,5.0,120.0,90.0,2.0,1230.0,4319750.0,3763020.833333334,45.05454785566854,225.2727392783427,30.263841677973492,255.5365809563162,1895.9511664414401,2151.4877473977563,31.70593799125878,47.20446452662331,44.896290794697805,0.48882094387610997,0.4160215290610725,0.14794740484429036,0.14794740484429036,16904.624707092167,0.021940382688080625,1.5141626041597727,True
5,1666.6666666666667,120,1.5,5.5,120.0,90.0,2.0,1335.0,4766796.25,3763020.833333334,48.90066779456708,244.5033389728354,30.263841677973492,274.7671806508089,1895.9511664414401,2170.718347092249,31.70593799125878,47.20446452662331,44.896290794697805,0.48882094387610997,0.4160215290610725,0.26674723875432504,0.26674723875432504,17348.492053197355,0.02174601075715571,1.5141626041597727,True
5,1666.6666666666667,120,1.5,6.0,120.0,90.0,2.0,1440.0,5220720.0,3763020.833333334,52.7467877334656,263.733938667328,30.263841677973492,293.9977803453015,1895.9511664414401,2189.9489467867415,31.70593799125878,47.20446452662331,44.896290794697805,0.48882094387610997,0.4160215290610725,0.3873747266435983,0.3873747266435983,17757.685088194354,0.02155505250288381,1.5141626041597727,True
